Player,Salary,Season,PTS,AST,REB,TOV,GP,IntegrationMethod,Source
miles plumlee,12500000.0,2017.0,113.0,21.0,95.0,30.0,45.0,Exact,both
al horford,12498483.0,2012.0,136.0,24.0,77.0,16.0,11.0,Exact,both
devonte graham,12459539.0,2024.0,114.0,49.0,36.0,17.0,23.0,Exact,both
raef lafrentz,12440787.0,2008.0,65.0,6.0,67.0,10.0,39.0,Exact,both
danny green,12416532.0,2023.0,9.0,2.0,4.0,3.0,3.0,Exact,both
danny green,12416532.0,2023.0,61.0,6.0,14.0,10.0,11.0,Exact,both
danny green,12416532.0,2023.0,52.0,4.0,10.0,7.0,8.0,Exact,both
richaun holmes,12403955.0,2024.0,199.0,25.0,182.0,24.0,40.0,Exact,both
richaun holmes,12403955.0,2024.0,78.0,15.0,78.0,12.0,23.0,Exact,both
richaun holmes,12403955.0,2024.0,121.0,10.0,104.0,12.0,17.0,Exact,both
vin baker,12375000.0,2003.0,270.0,29.0,198.0,61.0,52.0,Exact,both
larry nance jr,12362406.0,2022.0,321.0,81.0,248.0,37.0,46.0,Exact,both
larry nance jr,12362406.0,2022.0,255.0,73.0,209.0,27.0,37.0,Exact,both
larry nance jr,12362406.0,2022.0,66.0,8.0,39.0,10.0,9.0,Exact,both
wally szczerbiak,12275000.0,2008.0,205.0,35.0,81.0,20.0,25.0,Exact,both
courtney lee,12253780.0,2019.0,56.0,16.0,27.0,5.0,12.0,Exact,both
courtney lee,12253780.0,2019.0,80.0,21.0,27.0,9.0,22.0,Exact,both
courtney lee,12253780.0,2019.0,136.0,37.0,54.0,14.0,34.0,Exact,both
solomon hill,12252928.0,2019.0,191.0,55.0,133.0,31.0,44.0,Exact,both
devonte graham,12246326.0,2023.0,280.0,116.0,72.0,27.0,53.0,Exact,both
devonte graham,12246326.0,2023.0,259.0,80.0,50.0,26.0,20.0,Exact,both
rodney hood,12244741.0,2021.0,180.0,47.0,73.0,31.0,38.0,Exact,both
rodney hood,12244741.0,2021.0,66.0,6.0,30.0,5.0,17.0,Exact,both
rodney hood,12244741.0,2021.0,246.0,53.0,103.0,36.0,55.0,Exact,both
solomon hill,12236535.0,2018.0,29.0,22.0,36.0,9.0,12.0,Exact,both
jason richardson,12222221.0,2009.0,262.0,36.0,58.0,24.0,14.0,Exact,both
trevor ariza,12195122.0,2020.0,231.0,41.0,100.0,28.0,21.0,Exact,both
trevor ariza,12195122.0,2020.0,192.0,50.0,146.0,28.0,32.0,Exact,both
terrence ross,12193311.0,2023.0,188.0,41.0,69.0,6.0,21.0,Exact,both
reggie jackson,12147949.0,2023.0,127.0,50.0,28.0,19.0,16.0,Exact,both
jeremy lamb,12141649.0,2022.0,276.0,51.0,94.0,24.0,39.0,Exact,both
jeremy lamb,12141649.0,2022.0,134.0,30.0,60.0,13.0,17.0,Exact,both
nikola pekovic,12100000.0,2016.0,54.0,11.0,21.0,9.0,12.0,Exact,both
chris boucher,12099139.0,2024.0,322.0,23.0,207.0,28.0,50.0,Exact,both
kenyon martin,12068182.0,2007.0,19.0,1.0,20.0,5.0,2.0,Exact,both
nicolas batum,12058792.0,2024.0,312.0,123.0,241.0,39.0,57.0,Exact,both
nicolas batum,12058792.0,2024.0,320.0,128.0,248.0,40.0,60.0,Exact,both
nicolas batum,12058792.0,2024.0,8.0,5.0,7.0,1.0,3.0,Exact,both
robert covington,12039732.0,2024.0,118.0,17.0,89.0,11.0,26.0,Exact,both
robert covington,12039732.0,2024.0,9.0,7.0,8.0,0.0,3.0,Exact,both
robert covington,12039732.0,2024.0,127.0,24.0,97.0,11.0,29.0,Exact,both
andrew bogut,12000000.0,2012.0,136.0,31.0,100.0,24.0,12.0,Exact,both
hedo turkoglu,12000000.0,2013.0,32.0,23.0,26.0,12.0,11.0,Exact,both
avery bradley,12000000.0,2019.0,225.0,56.0,44.0,28.0,14.0,Exact,both
kevin garnett,12000000.0,2015.0,285.0,69.0,285.0,45.0,42.0,Exact,both
glenn robinson,12000000.0,2005.0,90.0,8.0,24.0,7.0,9.0,Exact,both
antonio davis,12000000.0,2004.0,129.0,14.0,143.0,21.0,15.0,Exact,both
kevin garnett,12000000.0,2015.0,323.0,77.0,311.0,46.0,47.0,Exact,both
kevin garnett,12000000.0,2015.0,38.0,8.0,26.0,1.0,5.0,Exact,both
gilbert arenas,11950400.0,2008.0,252.0,66.0,51.0,49.0,13.0,Exact,both
robert williams,11915262.0,2024.0,41.0,5.0,38.0,7.0,6.0,Fuzzy,both
richaun holmes,11891405.0,2023.0,130.0,9.0,80.0,14.0,42.0,Exact,both
alfarouq aminu,11846777.0,2021.0,9.0,2.0,19.0,3.0,6.0,Exact,both
alfarouq aminu,11846777.0,2021.0,93.0,29.0,91.0,25.0,17.0,Exact,both
alfarouq aminu,11846777.0,2021.0,102.0,31.0,110.0,28.0,23.0,Exact,both
marcus camby,11749832.0,2011.0,277.0,121.0,606.0,62.0,59.0,Exact,both
antonio mcdyess,11700000.0,2002.0,113.0,18.0,55.0,20.0,10.0,Exact,both
dante exum,11699437.0,2021.0,23.0,13.0,17.0,7.0,6.0,Fuzzy,both
george hill,11687984.0,2021.0,165.0,43.0,29.0,12.0,14.0,Exact,both
